pitcher_name,team,opponent_team,game_date,over05_odds,under05_odds,over15_odds,under15_odds,over25_odds,under25_odds,over35_odds,under35_odds,over45_odds,under45_odds,over55_odds,under55_odds,over65_odds,under65_odds,over75_odds,under75_odds,over85_odds,under85_odds,over95_odds,under95_odds,over05,under05,over15,under15,over25,under25,over35,under35,over45,under45,over55,under55,over65,under65,over75,under75,over85,under85,over95,under95
Adrian Houser,CWS,NYM,20250526,-4899.0,4900.0,-614.0,614.0,-222.0,222.0,308.0,-308.0,852.0,-852.0,2757.0,-2757.0,4900.0,-4899.0,4900.0,-4899.0,,,,,0.98,0.02,0.86,0.14,0.69,0.31,0.245,0.755,0.105,0.895,0.035,0.965,0.02,0.98,0.02,0.98,0.0,1.0,0.0,1.0
Andrew Heaney,PIT,ARI,20250526,-9899.0,9900.0,-1718.0,1718.0,-640.0,640.0,-117.0,117.0,181.0,-181.0,181.0,-181.0,292.0,-292.0,1566.0,-1566.0,,,,,0.99,0.01,0.945,0.055,0.865,0.135,0.54,0.46,0.355,0.645,0.355,0.645,0.255,0.745,0.06,0.94,0.0,1.0,0.0,1.0
Carson Palmquist,COL,CHC,20250526,-233.0,233.0,238.0,-238.0,525.0,-524.0,300.0,-300.0,809.0,-809.0,1150.0,-1150.0,1718.0,-1718.0,1150.0,-1150.0,9900.0,-9899.0,,,0.7,0.3,0.295,0.705,0.16,0.84,0.25,0.75,0.11,0.89,0.08,0.92,0.055,0.945,0.08,0.92,0.01,0.99,0.0,1.0
Chad Patrick,MIL,BOS,20250526,-9899.0,9900.0,-9899.0,9900.0,-1328.0,1328.0,-506.0,506.0,-203.0,203.0,198.0,-198.0,640.0,-640.0,1900.0,-1899.0,6566.0,-6566.0,,,0.99,0.01,0.99,0.01,0.93,0.07,0.835,0.165,0.67,0.33,0.335,0.665,0.135,0.865,0.05,0.95,0.015,0.985,0.0,1.0
Charlie Morton,BAL,STL,20250526,,,-1899.0,1900.0,-640.0,640.0,-365.0,365.0,-217.0,217.0,115.0,-115.0,233.0,-233.0,769.0,-769.0,1150.0,-1150.0,4900.0,-4899.0,1.0,0.0,0.95,0.05,0.865,0.135,0.785,0.215,0.685,0.315,0.465,0.535,0.3,0.7,0.115,0.885,0.08,0.92,0.02,0.98
Chris Paddack,MIN,TB,20250526,,,-376.0,376.0,-129.0,129.0,185.0,-185.0,222.0,-222.0,471.0,-471.0,2757.0,-2757.0,2757.0,-2757.0,19900.0,-19899.0,9900.0,-9899.0,1.0,0.0,0.79,0.21,0.565,0.435,0.35,0.65,0.31,0.69,0.175,0.825,0.035,0.965,0.035,0.965,0.005,0.995,0.01,0.99
Clay Holmes,NYM,CWS,20250526,,,-4899.0,4900.0,-1328.0,1328.0,-426.0,426.0,-146.0,146.0,150.0,-150.0,334.0,-334.0,440.0,-440.0,3233.0,-3233.0,9900.0,-9899.0,1.0,0.0,0.98,0.02,0.93,0.07,0.81,0.19,0.595,0.405,0.4,0.6,0.23,0.77,0.185,0.815,0.03,0.97,0.01,0.99
Erick Fedde,STL,BAL,20250526,-9899.0,9900.0,-1438.0,1438.0,-524.0,525.0,-238.0,238.0,138.0,-138.0,156.0,-156.0,1718.0,-1718.0,1233.0,-1233.0,19900.0,-19899.0,,,0.99,0.01,0.935,0.065,0.84,0.16,0.705,0.295,0.42,0.58,0.39,0.61,0.055,0.945,0.075,0.925,0.005,0.995,0.0,1.0
Garrett Crochet,BOS,MIL,20250526,-3233.0,3233.0,-1011.0,1011.0,-589.0,589.0,-614.0,614.0,-170.0,170.0,-102.0,102.0,122.0,-122.0,181.0,-181.0,545.0,-545.0,1900.0,-1899.0,0.97,0.03,0.91,0.09,0.855,0.145,0.86,0.14,0.63,0.37,0.505,0.495,0.45,0.55,0.355,0.645,0.155,0.845,0.05,0.95
Gavin Williams,CLE,LAD,20250526,-19899.0,19900.0,-6566.0,6566.0,-2399.0,2400.0,-233.0,233.0,-100.0,-100.0,300.0,-300.0,700.0,-700.0,1328.0,-1328.0,2122.0,-2122.0,,,0.995,0.005,0.985,0.015,0.96,0.04,0.7,0.3,0.5,0.5,0.25,0.75,0.125,0.875,0.07,0.93,0.045,0.955,0.0,1.0
